Wall time,Step,Value
1512889093.401141,0,0.09928642213344574
1512889093.43544,5,0.025731245055794716
1512889093.4713888,10,0.023566635325551033
1512889093.512873,15,0.012141105718910694
1512889093.5598972,20,0.011551274918019772
1512889093.610744,25,0.007387822028249502
1512889093.6536121,30,0.006260897498577833
1512889093.696564,35,0.004270841367542744
1512889093.745515,40,0.003133645048364997
1512889093.7973309,45,0.002157864160835743
1512889093.8418791,50,0.0015579669270664454
1512889093.893397,55,0.00114304234739393
1512889093.945606,60,0.0008834777981974185
1512889093.994325,65,0.0007095338078215718
1512889094.038481,70,0.0005965331802144647
1512889094.092005,75,0.0004948946880176663
1512889094.140788,80,0.00042633057455532253
1512889094.1954079,85,0.00036549943615682423
1512889094.249152,90,0.000317745580105111
1512889094.300651,95,0.0002794683678075671
